service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
36401,1,1,1,1,1,0,0,20110407,20110630
36402,1,1,1,1,0,0,0,20110407,20110630
36403,0,1,1,1,1,0,0,20110407,20110630
36404,0,1,1,1,1,0,0,20110407,20110630
36405,0,0,0,0,1,0,0,20110407,20110630
36406,0,0,0,0,0,1,0,20110407,20110630
36407,0,0,0,0,0,1,0,20110407,20110630
36408,0,0,0,0,0,0,1,20110407,20110630
36409,0,0,0,0,0,0,1,20110407,20110630
36410,0,0,1,1,1,1,0,20110407,20110630
36411,0,1,1,1,1,1,0,20110407,20110630
36412,0,1,1,1,1,1,0,20110407,20110630
36413,1,0,0,0,0,0,0,20110407,20110630
36414,1,0,0,0,0,0,0,20110407,20110630
36415,1,0,0,0,0,0,0,20110407,20110630
36416,0,1,0,0,0,0,0,20110407,20110630
36417,0,1,0,0,0,0,0,20110407,20110630
36418,1,0,1,1,1,0,0,20110407,20110630
36419,1,0,1,1,1,0,0,20110407,20110630
36420,0,0,1,0,0,0,0,20110407,20110630
36421,0,0,1,0,0,0,0,20110407,20110630
36422,1,1,0,1,1,0,0,20110407,20110630
36423,1,1,0,1,1,0,0,20110407,20110630
36424,0,0,0,1,0,0,0,20110407,20110630
36425,0,0,0,1,0,0,0,20110407,20110630
36426,1,1,1,0,1,0,0,20110407,20110630
36427,1,1,1,0,1,0,0,20110407,20110630
36428,0,1,1,0,0,0,0,20110407,20110630
36429,0,1,1,0,0,0,0,20110407,20110630
36430,1,0,0,1,1,0,0,20110407,20110630
36431,1,0,0,1,1,0,0,20110407,20110630
36432,1,1,0,0,1,0,0,20110407,20110630
36433,1,1,0,0,1,0,0,20110407,20110630
102101,1,1,1,1,1,0,0,20110407,20110630
102102,1,1,1,1,0,0,0,20110407,20110630
102103,0,1,1,1,1,0,0,20110407,20110630
102104,0,1,1,1,1,0,0,20110407,20110630
102105,0,0,0,0,1,0,0,20110407,20110630
102106,0,0,0,0,0,1,0,20110407,20110630
102107,0,0,0,0,0,1,0,20110407,20110630
102108,0,0,0,0,0,0,1,20110407,20110630
102109,0,0,0,0,0,0,1,20110407,20110630
102110,0,0,1,1,1,1,0,20110407,20110630
102111,0,1,1,1,1,1,0,20110407,20110630
102112,0,1,1,1,1,1,0,20110407,20110630
102113,1,0,0,0,0,0,0,20110407,20110630
102114,1,0,0,0,0,0,0,20110407,20110630
102115,1,0,0,0,0,0,0,20110407,20110630
102116,0,1,0,0,0,0,0,20110407,20110630
102117,0,1,0,0,0,0,0,20110407,20110630
102118,1,0,1,1,1,0,0,20110407,20110630
102119,1,0,1,1,1,0,0,20110407,20110630
102120,0,0,1,0,0,0,0,20110407,20110630
102121,0,0,1,0,0,0,0,20110407,20110630
102122,1,1,0,1,1,0,0,20110407,20110630
102123,1,1,0,1,1,0,0,20110407,20110630
102124,0,0,0,1,0,0,0,20110407,20110630
102125,0,0,0,1,0,0,0,20110407,20110630
102126,1,1,1,0,1,0,0,20110407,20110630
102127,1,1,1,0,1,0,0,20110407,20110630
102128,0,1,1,0,0,0,0,20110407,20110630
102129,0,1,1,0,0,0,0,20110407,20110630
102130,1,0,0,1,1,0,0,20110407,20110630
102131,1,0,0,1,1,0,0,20110407,20110630
102132,1,1,0,0,1,0,0,20110407,20110630
102133,1,1,0,0,1,0,0,20110407,20110630
