service_id,date,exception_type
36401,20110530,2
36402,20110530,2
36403,20110530,2
36404,20110531,2
36405,20110530,2
36406,20110530,2
36407,20110531,2
36408,20110531,2
36409,20110530,1
36410,20110531,2
36411,20110530,2
36412,20110531,2
36413,20110530,2
36414,20110531,2
36415,20110531,1
36416,20110530,2
36417,20110531,2
36418,20110530,2
36419,20110531,2
36420,20110530,2
36421,20110531,2
36422,20110530,2
36423,20110531,2
36424,20110530,2
36425,20110531,2
36426,20110530,2
36427,20110531,2
36428,20110530,2
36429,20110531,2
36430,20110530,2
36431,20110531,2
36432,20110530,2
36433,20110531,2
102101,20110530,2
102102,20110530,2
102103,20110530,2
102104,20110531,2
102105,20110530,2
102106,20110530,2
102107,20110531,2
102108,20110531,2
102109,20110530,1
102110,20110531,2
102111,20110530,2
102112,20110531,2
102113,20110530,2
102114,20110531,2
102115,20110531,1
102116,20110530,2
102117,20110531,2
102118,20110530,2
102119,20110531,2
102120,20110530,2
102121,20110531,2
102122,20110530,2
102123,20110531,2
102124,20110530,2
102125,20110531,2
102126,20110530,2
102127,20110531,2
102128,20110530,2
102129,20110531,2
102130,20110530,2
102131,20110531,2
102132,20110530,2
102133,20110531,2
